"components"	"count"	"rule"	"step"
"(III, \"minor\")"	0.7593004643788529	"CFRule(diatonic_prep)"	1
"(III, \"minor\")"	0.48995046603307435	"CFRule(dominant_prep)"	1
"(IV, \"major\")"	3.4086793740780807	"CFRule(rule418)"	1
"(IV, \"major\")"	3.333333333333333	"CFRule(rule420)"	1
"(IV, \"major\")"	2.375863834266807	"CFRule(rule419)"	1
"(IV, \"major\")"	1.3111605718138057	"CFRule(prolongation)"	1
"(IV, \"major\")"	0.8803769676846251	"CFRule(modulation)"	1
"(IV, \"major\")"	0.6647118369432994	"CFRule(dominant_prep)"	1
"(IV, \"minor\")"	3.2068640681504252	"CFRule(rule437)"	1
"(IV, \"minor\")"	1.2626307626397615	"CFRule(modulation)"	1
"(IV, \"minor\")"	0.7364551043750286	"CFRule(prolongation)"	1
"(IV, \"minor\")"	0.5	"CFRule(rule436)"	1
"(IV, \"minor\")"	0.49461773947910587	"CFRule(dominant_prep)"	1
"(V, \"major\")"	8.562734334950878	"CFRule(rule422)"	1
"(V, \"major\")"	3.629410606507675	"CFRule(octa_dom_subs9)"	1
"(V, \"major\")"	3.1800794232932583	"CFRule(diatonic_prep)"	1
"(V, \"major\")"	2.1329066403731143	"CFRule(dominant_prep)"	1
"(V, \"major\")"	1.9551924684799182	"CFRule(rule424)"	1
"(V, \"major\")"	1.1052076310617904	"CFRule(diatonic_subs)"	1
"(V, \"major\")"	1.0380050040987956	"CFRule(octa_dom_subs6)"	1
"(V, \"major\")"	0.7649672449720011	"CFRule(prolongation)"	1
"(V, \"major\")"	0.7163050692891073	"CFRule(octa_dom_subs3)"	1
"(V, \"major\")"	0.457576519848634	"CFRule(modulation)"	1
"(V, \"major\")"	0.2	"CFRule(rule451)"	1
"(V, \"major\")"	0.2	"CFRule(rule423)"	1
"(V, \"major\")"	0.14105245956050388	"CFRule(rule421)"	1
"(V, \"minor\")"	4.789885777667072	"CFRule(rule441)"	1
"(V, \"minor\")"	2.935682342900492	"CFRule(rule439)"	1
"(V, \"minor\")"	2.5151415157956745	"CFRule(diatonic_prep)"	1
"(V, \"minor\")"	1.2158845344846803	"CFRule(octa_dom_subs3)"	1
"(V, \"minor\")"	1.1609859009867785	"CFRule(rule440)"	1
"(V, \"minor\")"	1.1503476139323043	"CFRule(octa_dom_subs9)"	1
"(V, \"minor\")"	0.8088310068396783	"CFRule(diatonic_subs)"	1
"(V, \"minor\")"	0.7608671679462332	"CFRule(dominant_prep)"	1
"(V, \"minor\")"	0.37405881130742336	"CFRule(octa_dom_subs6)"	1
"(V, \"minor\")"	0.3678623844794808	"CFRule(modulation)"	1
"(V, \"minor\")"	0.18284673091834658	"CFRule(prolongation)"	1
"(V, \"minor\")"	0.16666666666666666	"CFRule(rule442)"	1
"(V, \"minor\")"	0.16666666666666666	"CFRule(rule443)"	1
"(V, \"minor\")"	0.08271107876799037	"CFRule(rule438)"	1
"(VI, \"major\")"	10.316140267273234	"CFRule(rule425)"	1
"(VI, \"major\")"	1.9455534361936921	"CFRule(modulation)"	1
"(VI, \"major\")"	1.5058690863423267	"CFRule(prolongation)"	1
"(VI, \"major\")"	1.1725061523682205	"CFRule(rule426)"	1
"(VI, \"major\")"	0.822118739209599	"CFRule(dominant_prep)"	1
"(VI, \"major\")"	0.7316161127454471	"CFRule(diatonic_prep)"	1
"(VI, \"minor\")"	1.0	"CFRule(diatonic_prep)"	1
"(VI, \"minor\")"	0.47483100335721634	"CFRule(dominant_prep)"	1
"(VI, \"minor\")"	0.4694721360445349	"CFRule(prolongation)"	1
"(VI, \"minor\")"	0.3333333333333333	"CFRule(rule444)"	1
"(VI, \"minor\")"	0.3333333333333333	"CFRule(rule446)"	1
"(VI, \"minor\")"	0.16006329022329926	"CFRule(rule445)"	1
"(VI, \"minor\")"	0.07449739208530907	"CFRule(modulation)"	1
"(VII, \"major\")"	3.624396440561487	"CFRule(rule427)"	1
"(VII, \"major\")"	1.0	"CFRule(prolongation)"	1
"(VII, \"major\")"	1.0	"CFRule(dominant_prep)"	1
"(VII, \"major\")"	0.7283231069738689	"CFRule(rule428)"	1
"(VII, \"major\")"	0.4694721360445349	"CFRule(diatonic_prep)"	1
"(VII, \"major\")"	0.0686685411218205	"CFRule(modulation)"	1
"(VII, \"minor\")"	10.426875158840476	"CFRule(rule450)"	1
"(VII, \"minor\")"	6.989261728766602	"CFRule(prolongation)"	1
"(VII, \"minor\")"	3.2168888651345684	"CFRule(rule448)"	1
"(VII, \"minor\")"	1.1823863679038746	"CFRule(diatonic_prep)"	1
"(VII, \"minor\")"	0.46010330121420656	"CFRule(dominant_prep)"	1
"(VII, \"minor\")"	0.25	"CFRule(rule449)"	1
"(VII, \"minor\")"	0.15602785634651992	"CFRule(modulation)"	1
"(VII, \"minor\")"	0.14818152105905213	"CFRule(rule447)"	1
"(I, \"major\")"	3.179026649304362	"CFRule(rule411)"	2
"(I, \"major\")"	2.865272064513706	"CFRule(plagal_prep)"	2
"(I, \"major\")"	1.9738680468635006	"CFRule(rule413)"	2
"(I, \"major\")"	1.9681822717551554	"CFRule(diatonic_prep)"	2
"(I, \"major\")"	1.1934822178256672	"CFRule(diatonic_subs)"	2
"(I, \"major\")"	1.00406863023696	"CFRule(mode_change)"	2
"(I, \"major\")"	0.4583493655367675	"CFRule(rule412)"	2
"(I, \"major\")"	0.06308985992347044	"CFRule(prolongation)"	2
"(I, \"minor\")"	4.57006319544933	"CFRule(diatonic_prep)"	2
"(I, \"minor\")"	2.6026216697489857	"CFRule(rule429)"	2
