"scale_deg"	"mode"	"count"	"rule"	"step"
"I"	"major"	48.46938182537565	"CFRule(mode_change)"	3
"I"	"major"	41.7940939087243	"CFRule(diatonic_prep)"	3
"I"	"major"	28.726617896787978	"CFRule(rule44)"	3
"I"	"major"	28.673283010362017	"CFRule(plagal_prep)"	3
"I"	"major"	17.691366407365642	"CFRule(prolongation)"	3
"I"	"major"	11.599604659608246	"CFRule(diatonic_subs)"	3
"I"	"minor"	132.107763871016	"CFRule(diatonic_subs)"	3
"I"	"minor"	80.41985256082033	"CFRule(diatonic_prep)"	3
"I"	"minor"	65.57758497112411	"CFRule(mode_change)"	3
"I"	"minor"	61.94904098631795	"CFRule(rule62)"	3
"I"	"minor"	56.717956546941636	"CFRule(rule61)"	3
"I"	"minor"	55.69805690919594	"CFRule(prolongation)"	3
"I"	"minor"	31.685788949064317	"CFRule(plagal_prep)"	3
"I"	"minor"	25.568999806421267	"CFRule(rule60)"	3
"II"	"major"	50.677632922638736	"CFRule(rule46)"	3
"II"	"major"	48.24092880798762	"CFRule(diatonic_subs)"	3
