"components"	"count"	"rule"	"step"
"(V, \"minor\")"	5.166666666666667	"CFRule(+_termination)"	0
"(VI, \"major\")"	676.5	"CFRule(m7_termination)"	0
"(VI, \"major\")"	399.0	"CFRule(modulation)"	0
"(VI, \"major\")"	380.0	"CFRule(dominant_prep)"	0
"(VI, \"major\")"	374.0	"CFRule(prolongation)"	0
"(VI, \"major\")"	155.0	"CFRule(diatonic_prep)"	0
"(VI, \"major\")"	147.5	"CFRule(m_termination)"	0
"(VI, \"minor\")"	86.33333333333333	"CFRule(^7_termination)"	0
"(VI, \"minor\")"	36.0	"CFRule(modulation)"	0
"(VI, \"minor\")"	34.0	"CFRule(diatonic_prep)"	0
"(VI, \"minor\")"	32.0	"CFRule(dominant_prep)"	0
"(VI, \"minor\")"	31.0	"CFRule(prolongation)"	0
"(VI, \"minor\")"	8.333333333333332	"CFRule(6_termination)"	0
"(VI, \"minor\")"	3.333333333333333	"CFRule(^_termination)"	0
"(VII, \"major\")"	391.5	"CFRule(o7_termination)"	0
"(VII, \"major\")"	171.0	"CFRule(modulation)"	0
"(VII, \"major\")"	148.5	"CFRule(%7_termination)"	0
"(VII, \"major\")"	75.0	"CFRule(prolongation)"	0
"(VII, \"major\")"	66.0	"CFRule(dominant_prep)"	0
"(VII, \"major\")"	55.0	"CFRule(diatonic_prep)"	0
"(VII, \"minor\")"	2588.25	"CFRule(7_termination)"	0
"(VII, \"minor\")"	1538.0	"CFRule(diatonic_prep)"	0
"(VII, \"minor\")"	1090.0	"CFRule(dominant_prep)"	0
"(VII, \"minor\")"	918.0	"CFRule(prolongation)"	0
"(VII, \"minor\")"	366.0	"CFRule(modulation)"	0
"(VII, \"minor\")"	176.25	"CFRule(sus_termination)"	0
"(VII, \"minor\")"	30.25	"CFRule(^_termination)"	0
"(VII, \"minor\")"	12.25	"CFRule(+_termination)"	0
"(I, \"major\")"	964.449574437206	"CFRule(^7_termination)"	1
"(I, \"major\")"	727.2013222539367	"CFRule(diatonic_subs)"	1
"(I, \"major\")"	720.0502919350499	"CFRule(mode_change)"	1
"(I, \"major\")"	684.6051045985755	"CFRule(diatonic_prep)"	1
"(I, \"major\")"	558.5923377622377	"CFRule(plagal_prep)"	1
"(I, \"major\")"	390.827305221763	"CFRule(prolongation)"	1
"(I, \"major\")"	334.6257760023048	"CFRule(6_termination)"	1
